user_id,order,username,Gem Color,nickname,follower_count,following_count,like_count,video_count,digg_count,friend_count,private_account,secret,ttSeller,verified
7.20539E+18,1,beckett.lacy,RED,beckett.lacy,1761,1407,921,18,13000,0,FALSE,FALSE,FALSE,FALSE
6.71007E+18,2,connorlenhart7,,Connorgames6,129,2634,1301,76,9445,0,FALSE,FALSE,FALSE,FALSE
7.27129E+18,3,border.potrol,,border potrol,116,597,29,1,4127,0,FALSE,FALSE,FALSE,FALSE
7.47626E+18,4,.nate965,RED,nate,12,290,0,0,1569,0,TRUE,TRUE,FALSE,FALSE
7.25731E+18,5,e84567,,︎,38,639,116,0,331,0,FALSE,FALSE,FALSE,FALSE
7.1166E+18,6,vibesinchaos,,CHAOS™️,9722,1037,233100,717,14100,0,FALSE,FALSE,FALSE,FALSE
6.94859E+18,7,gwonty,,Grant,1106,578,326,0,74200,0,FALSE,FALSE,FALSE,FALSE
7.458E+18,8,elliot_the_short_king,,elliot_the_short_king,104,365,26,3,30000,0,TRUE,TRUE,FALSE,FALSE
7.08886E+18,9,twolvesszn_,,hudson_glander,1550,4660,21500,224,82600,0,FALSE,FALSE,FALSE,FALSE
7.43581E+18,10,easton.savoie,,Easton Savoie,64,1499,48,7,2855,0,FALSE,FALSE,FALSE,FALSE
6.71335E+18,11,ryanbutcher07,,ryan butcher,222,1067,0,1,273300,0,FALSE,FALSE,FALSE,FALSE
6.59346E+18,12,chason._,,Chase,472,1308,3355,1,49600,0,FALSE,FALSE,FALSE,FALSE
7.52235E+18,13,661.josh1,,661.josh ALT,34,242,33,0,827,0,FALSE,FALSE,FALSE,FALSE
7.28482E+18,14,bubba32328,,★/Star,41,3914,10,0,3228,0,TRUE,TRUE,FALSE,FALSE
7.37501E+18,15,thebuffchees,,Thebuffchees,270,2132,4250,59,14900,0,FALSE,FALSE,FALSE,FALSE
7.16965E+18,16,braxtonflaugher,,braxtonflaugher,411,3574,362,4,15200,0,FALSE,FALSE,FALSE,FALSE
7.30629E+18,17,rulandlovesyams,,ᴮˡᵉˢˢᵉᵈ,291,615,2356,10,6305,0,FALSE,FALSE,FALSE,FALSE
6.75044E+18,18,erikbjn.06,,erikbjn.06,1494,4655,708,4,151500,0,FALSE,FALSE,FALSE,FALSE
7.54011E+18,19,brianlovesmcflurries,,Brian,129,72,252,4,1337,0,FALSE,FALSE,FALSE,FALSE
7.12362E+18,20,cgeno99_,,cgeno9🏒,297,2350,300,9,123600,0,TRUE,TRUE,FALSE,FALSE
6.9418E+18,21,thehoodieguy77,,thehoodieguy77,193,1296,3192,93,8352,0,FALSE,FALSE,FALSE,FALSE
7.46021E+18,22,flashanovlt,,crxy,36,501,73,18,3458,0,FALSE,FALSE,FALSE,FALSE
7.37572E+18,23,quentin_him420,,Quentin A,284,2259,210,7,17100,0,FALSE,FALSE,FALSE,FALSE
7.21232E+18,24,whoosh012,,Evil Edward Robinson,46,149,66,6,31800,0,FALSE,FALSE,FALSE,FALSE
6.71545E+18,25,zaybay18,,Isaiah,44,1139,47,26,1960,0,FALSE,FALSE,FALSE,FALSE
7.39806E+18,26,___hydro___,,Hydro,56,747,5,0,80300,0,FALSE,FALSE,FALSE,FALSE
7.1798E+18,27,apurplearcher,,Shovel🪏✨,643,3105,355200,98,135700,0,FALSE,FALSE,FALSE,FALSE
7.49042E+18,28,killex_powerlime544,,killex_powerlime544,84,572,1548,39,1221,0,FALSE,FALSE,FALSE,FALSE
7.53978E+18,29,jano_got_banned100,,Janooooooooooooo,32,68,9,1,977,0,FALSE,FALSE,FALSE,FALSE
7.51409E+18,30,saltwater.fishing31,,Gtown anglers🦈,107,255,1870,5,1664,0,FALSE,FALSE,FALSE,FALSE
6.87215E+18,31,krypto_otk,,Krypto_otk,291,3477,524,11,11900,0,FALSE,FALSE,FALSE,FALSE
7.51849E+18,32,gilbert201147,,Gilbert2011!!!!,38,504,8,1,5238,0,TRUE,TRUE,FALSE,FALSE
7.50218E+18,33,iamsecondgodisfirst8,,GOD IS THE WAY✝️✝️✝️✝️,55,396,0,0,13000,0,FALSE,FALSE,FALSE,FALSE
7.41505E+18,34,wajoko0,RED,wajoko,37,124,47,3,13900,0,FALSE,FALSE,FALSE,FALSE
6.74928E+18,35,budget_honda_suzuki,,Budget_Honda,5158,9148,14000,10,448400,0,FALSE,FALSE,FALSE,FALSE
7.49851E+18,36,jesus.encarnacion436,,EL_MATON_82†,39,267,66,4,20800,0,FALSE,FALSE,FALSE,FALSE
7.33385E+18,37,eric694203,,eric694203,50,475,159,1,5121,0,FALSE,FALSE,FALSE,FALSE
7.08121E+18,38,charwewe,,Charwewe,129,1208,686,18,20300,0,FALSE,FALSE,FALSE,FALSE
7.50886E+18,39,mason67sigma67,,Jordanlove #1 fan 💚💛🏈,482,756,17000,288,20100,0,FALSE,FALSE,FALSE,FALSE
7.13193E+18,40,kash_9950,,Kash_9950,276,2979,64,1,47600,0,FALSE,FALSE,FALSE,FALSE
7.25016E+18,41,leonardo15.11,,Leo,65,520,562,0,23500,0,TRUE,TRUE,FALSE,FALSE
